artist_id,name,popularity,followers
0WjnlObkDedRrSBTC9N3lW,Ms. Jade,26,38545
2uksmRwzPxVotttjocjcar,Boo And Gotti,26,650
6pxlau9PGA7rC0KhOMsVAx,Ameritz Audio Karaoke,26,1528
0wp7cYNFjMgSHBDdla5aC9,The Rock Heroes,26,6530
36y42taogcR024xS85HIHE,美樹さやか (CV:喜多村英梨),26,743
4NVjldBwjF0DzudAiLvti0,New Hollow,26,6013
1OEqn1sz93LEk4xqzq4tBe,the JaneDear girls,26,41754
3guo5KSFSYSvcyH7kEiNBy,Priscilla,26,2174
6KfzyefHYuqfWaI5taICaN,Band Aid 30,26,4223
4ZgqduOBdbifKWJp8KbiF3,Matt McAndrew,26,29589
5oSFZH3AgLRQxBi87McLjP,Bandit Gang Marco,26,48575
6vVB9hUpiPCp5SWAYwSzUt,Adam Wakefield,26,7741
3Yw2flLUwQIZgpA2qSNj30,Alisan Porter,26,14957
64AyHnB0YQfCZFo5etz5vY,Eric Heatherly,27,4063
0SwVn4s8PdhY9XQhi9SetC,Carolyn Dawn Johnson,27,57302
1DiAIO8Ei1lTYdtezTcTK2,Ayana,27,579
0Dlbufr3A5qPlynEzYg3jI,Corey,27,4525
1WLf8XvFv2ikpckLypjgGY,Soluna,27,3076
4BhbugBzeCTGXlekhrCnU6,Tateeze,27,137
6MaIFcQgc3Buqm4eCu3yU8,Jeff Bates,27,56232
0kEcxP5ezzvP5RcO51TCBD,Nitty,27,1698
0o4U0XniVaa8UFVikUfANZ,King Jacob,27,204
3SFVchRRMmFuOi3Azi0vTo,Saving Jane,27,31062
6PCMMSSuTf9iCVVxYru5XI,Shareefa,27,46894
1SuG5iUNABfgum7OpWYvFi,"Mark ""Exit"" Goodchild",27,100
1W4yZwIXzRls3KoybGLKy8,Hot Stylz,27,4827
43eAoOm70bzBUNs4JKP5nE,Ashton Shepherd,27,63251
7rPpyefeTtPZB40uiXMxgS,Chris Mann,27,16064
2kM1LxD0AhAE5GULSYRQSa,Will Champlin,27,7259
0KF35OGFXQttk0yWReabtG,Chedda Da Connect,27,20413
4urap4WzzvxwW5cC12CBGv,Chris Blue,27,13284
1R27XsnE5qpncebtrgxJqJ,DJ D MAN Xtreme,27,1092
